cluster,label,size,top_keywords,top_titles
57,Unsupervised Learning / Representation Learning / Deep learning / Computer vision / Developments,85795,"Unsupervised Learning, Representation Learning, Deep learning, Computer vision, Developments","Deep Learning for Visual Understanding: A Review. || Attribute Surrogates Learning and Spectral Tokens Pooling in Transformers for Few-shot Learning || Ivs-Net: Learning Human View Synthesis from Internet Videos || The ""something Something"" Video Database for Learning and Evaluating Visual Common Sense. || DINOv2: Learning Robust Visual Features Without Supervision"
64,Task analysis / Feature extraction / Image fusion / Deep learning / Object detection,5846,"Task analysis, Feature extraction, Image fusion, Deep learning, Object detection",ResDNet: Efficient Dense Multi-Scale Representations with Residual Learning for High-Level Vision Tasks || Learning a Deep Multi-Scale Feature Ensemble and an Edge-Attention Guidance for Image Fusion || Learning a Coordinated Network for Detail-Refinement Multiexposure Image Fusion || Rcnet: Related Context-Driven Network with Hierarchical Attention for Salient Object Detection || Siamese Network for RGB-D Salient Object Detection and Beyond
7,scene classification / remote sensing scene image / convolutional neural network / Backbone network / foundation model,5670,"scene classification, remote sensing scene image, convolutional neural network, Backbone network, foundation model",RSMamba: Remote Sensing Image Classification with State Space Model || Remote Sensing Scene Image Classification Based on Dense Fusion of Multi-level Features || An Attention-Guided Multilayer Feature Aggregation Network for Remote Sensing Image Scene Classification || Remote Sensing Object Detection Meets Deep Learning: A Meta-review of Challenges and Advances || An Attention-Fused Network for Semantic Segmentation of Very-High-Resolution Remote Sensing Imagery
44,Transfer Learning / Training / Feature extraction / Deep learning / Semi-Supervised Learning,5627,"Transfer Learning, Training, Feature extraction, Deep learning, Semi-Supervised Learning",ReMarNet: Conjoint Relation and Margin Learning for Small-Sample Image Classification || Factorised Spatial Representation Learning: Application in Semi-supervised Myocardial Segmentation || DIMA: Digging into Multigranular Archetype for Fine-Grained Object Detection || Image Data Augmentation for Deep Learning: A Survey || LAM3L: Locally Adaptive Maximum Margin Metric Learning for Visual Data Classification
77,Data models / Predictive models / Federated learning / Servers / Computational modeling,5465,"Data models, Predictive models, Federated learning, Servers, Computational modeling",Practical Feature Inference Attack in Vertical Federated Learning During Prediction in Artificial Internet of Things || FASTGNN: A Topological Information Protected Federated Learning Approach for Traffic Speed Forecasting || Dependable Federated Learning for IoT Intrusion Detection Against Poisoning Attacks || A Collaborative Programmable LFA Defense Using Temporal Graph Learning in AIoT || Contribution Prediction in Federated Learning Via Client Behavior Evaluation
47,Unsupervised Learning / Semi-Supervised Learning / Representation Learning / Visual Recognition / Visual Question Answering,5214,"Unsupervised Learning, Semi-Supervised Learning, Representation Learning, Visual Recognition, Visual Question Answering",DINOv2: Learning Robust Visual Features Without Supervision || X-Learner: Learning Cross Sources and Tasks for Universal Visual Representation. || Transformers in Computational Visual Media: A Survey || TVTSv2: Learning Out-of-the-box Spatiotemporal Visual Representations at Scale || Efficient Self-supervised Vision Transformers for Representation Learning
62,Unsupervised Learning / Semi-Supervised Learning / Representation Learning / Transfer Learning / Meta-Learning,5080,"Unsupervised Learning, Semi-Supervised Learning, Representation Learning, Transfer Learning, Meta-Learning",Beyond IID: Learning to Combine Non-Iid Metrics for Vision Tasks || Contrastive Subspace Distribution Learning for Novel Category Discovery in High-Dimensional Visual Data || Deep Fusion Feature Representation Learning with Hard Mining Center-Triplet Loss for Person Re-Identification || ALMN: Deep Embedding Learning with Geometrical Virtual Point Generating || Context-aware and Part Alignment for Visible-Infrared Person Re-Identification
24,Machine learning / Model driven engineering / Software engineering / Artificial intelligence / Systematic literature review,5036,"Machine learning, Model driven engineering, Software engineering, Artificial intelligence, Systematic literature review",Model-driven Engineering for Machine Learning Components: A Systematic Literature Review || The Environmental Cost of Engineering Machine Learning-Enabled Systems: A Mapping Study. || On the Opportunities and Challenges of Foundation Models for GeoAI (vision Paper) || Requirements of API Documentation: A Case Study into Computer Vision Services || EvaluateXAI: A Framework to Evaluate the Reliability and Consistency of Rule-based XAI Techniques for Software Analytics Tasks
48,Machine Learning Interpretability / Interpretable Models / Model Interpretability / Responsibility in AI / Meta-Learning,4971,"Machine Learning Interpretability, Interpretable Models, Model Interpretability, Responsibility in AI, Meta-Learning",From Machine Learning to Explainable AI || LID 2020: the Learning from Imperfect Data Challenge Results. || Explainable Predictive Maintenance || Automated Machine Learning: State-of-The-Art and Open Challenges || Explainable AI Methods - A Brief Overview.
12,Deep Learning / Deep learning / Machine learning / Deep neural network architectures / Transfer learning,4920,"Deep Learning, Deep learning, Machine learning, Deep neural network architectures, Transfer learning","CarePre: an Intelligent Clinical Decision Assistance System || Automatic Optimization-Based Methods in Machine Learning: A Systematic Review || Review of Deep Learning: Concepts, CNN Architectures, Challenges, Applications, Future Directions || A Survey on Deep Learning Tools Dealing with Data Scarcity: Definitions, Challenges, Solutions, Tips, and Applications || PEARL: Prototype Learning Via Rule Learning."
73,Servers / Data models / Collaborative work / Machine learning / Training,4760,"Servers, Data models, Collaborative work, Machine learning, Training","Federated Machine Learning: Survey, Multi-Level Classification, Desirable Criteria and Future Directions in Communication and Networking Systems || End-to-End Federated Learning for Autonomous Driving Vehicles || Client Selection for Generalization in Accelerated Federated Learning: A Multi-Armed Bandit Approach. || Matching Game with No-Regret Learning for IoT Energy-Efficient Associations with UAV. || FLEE: A Hierarchical Federated Learning Framework for Distributed Deep Neural Network over Cloud, Edge, and End Device"
10,Deep Learning / Meta-Learning / Topic Modeling / Representation Learning / Transfer Learning,4751,"Deep Learning, Meta-Learning, Topic Modeling, Representation Learning, Transfer Learning","Data Distillation: A Survey || Learning Latent Parameters Without Human Response Patterns: Item Response Theory with Artificial Crowds || High Dimensional, Tabular Deep Learning with an Auxiliary Knowledge Graph. || Tutorial on Answering Questions about Images with Deep Learning. || Concept Learners for Few-Shot Learning"
20,Image Captioning / Visual Question Answering / Representation Learning / Semi-Supervised Learning / Meta-Learning,4634,"Image Captioning, Visual Question Answering, Representation Learning, Semi-Supervised Learning, Meta-Learning",Scaling Up Visual and Vision-Language Representation Learning with Noisy Text Supervision. || Unsupervised Vision-and-Language Pre-training Without Parallel Images and Captions || Flamingo: a Visual Language Model for Few-Shot Learning || Learning to Prompt for Vision-Language Models || Vision-Language Pretraining: Current Trends and the Future.
53,Task analysis / Autonomous aerial vehicles / Resource management / Computational modeling / reinforcement learning,4589,"Task analysis, Autonomous aerial vehicles, Resource management, Computational modeling, reinforcement learning",Parallel Driving in CPSS: a Unified Approach for Transport Automation and Vehicle Intelligence. || Cyber Physical and Social Networks in IoV (Cpsn-Iov): A Multimodal Architecture in Edge-Based Networks for Optimal Route Selection Using 5G Technologies. || Towards Collaborative Autonomous Driving: Simulation Platform and End-to-End System || Joint Task Offloading and Resource Allocation in Multi-UAV Multi-Server Systems: an Attention-based Deep Reinforcement Learning Approach || A Digital Twin Approach for Self-optimization of Mobile Networks.
